username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
saprasath;2015-12-02 04:22;3;1;"People from other parts of TN, who r safe, plz forget your bad memories with chennai. Come out & help chennai #chennairains #ChennaiFloods";;;#chennairains #ChennaiFloods;"671824310688858112";https://twitter.com/saprasath/status/671824310688858112
RamBalachandran;2015-12-02 04:21;2;0;"Please use the maps to reach the closest relief camps. #chennairains #ChennaiFloods #TNflood #TamilNaduRains https:// twitter.com/AshokSelvan/st atus/671640792180461568 ";;;#chennairains #ChennaiFloods #TNflood #TamilNaduRains;"671823921671512065";https://twitter.com/RamBalachandran/status/671823921671512065
aususa7;2015-12-02 04:20;0;0;"And @narendramodi and @PMOIndia is MIA. #ChennaiFloods";;@narendramodi @PMOIndia;#ChennaiFloods;"671823799973728256";https://twitter.com/aususa7/status/671823799973728256
ThalaAjith_FC;2015-12-02 04:19;77;20;"We got the Address Details! Please Share this Post!! #Accident #chennairains #ChennaiRescue #ChennaiFloods pic.twitter.com/5QDxgcRAtv";;;#Accident #chennairains #ChennaiRescue #ChennaiFloods;"671823552929259520";https://twitter.com/ThalaAjith_FC/status/671823552929259520
aususa7;2015-12-02 04:19;0;0;"Holy crap! Chennai is under waters. And Indian media is silent. #ChennaiFloods";;;#ChennaiFloods;"671823538240806912";https://twitter.com/aususa7/status/671823538240806912
MillionSwords;2015-12-02 04:19;1;0;"Naanellam moochu vidurom, aana indha mazhai vidama peyudhu. Veetukulla 3 feet thanni. Podhumba aala vidu !! #chennaifloods #chennairains";;;#chennaifloods #chennairains;"671823501498576896";https://twitter.com/MillionSwords/status/671823501498576896
AshantiOmkar;2015-12-02 04:19;4;11;"Prayers for all my friends in #Chennai , with the terrible #ChennaiFloods . Please stay safe & dry . It's why I came home early from India";;;#Chennai #ChennaiFloods;"671823356673581056";https://twitter.com/AshantiOmkar/status/671823356673581056
saprasath;2015-12-02 04:17;1;1;"City unites together for the first time. Lesson learned. Much needed at this time. #chennairains #ChennaiFloods #Chennai #ChennaiDrowning";;;#chennairains #ChennaiFloods #Chennai #ChennaiDrowning;"671822958613041154";https://twitter.com/saprasath/status/671822958613041154
mehaboobbepari;2015-12-02 04:17;2;0;"ALL ARE WELCOME #chennairains #ICanAccommodate #ChennaiFloods https:// twitter.com/milligazette/s tatus/671783494251515906 ";;;#chennairains #ICanAccommodate #ChennaiFloods;"671822955236622336";https://twitter.com/mehaboobbepari/status/671822955236622336
AapQaeda;2015-12-02 04:15;2;0;"Chennai Corporation helpline :- 1913 for rescue, shelter, medical assistance. #chennairains #ChennaiFloods";;;#chennairains #ChennaiFloods;"671822392864325632";https://twitter.com/AapQaeda/status/671822392864325632
