username	date	retweets	favorites	text	geo	mentions	hashtags	id	permalink
ShaunakSinha	01-12-2015 13:17	0	0	Does anyone know a guy by the name of Noah in Chennai? #chennairains #ChennaiFloods			#chennairains #ChennaiFloods	671596524585926656	https://twitter.com/ShaunakSinha/status/671596524585926656
chennaivision	01-12-2015 13:17	2	2	#Chennai rain today #chennairains #chennaiweather #ChennaiFloods #chennaiweatherupdate pic.twitter.com/V0m1PNkK00			#Chennai #chennairains #chennaiweather #ChennaiFloods #chennaiweatherupdate	671596411134218240	https://twitter.com/chennaivision/status/671596411134218240
clearmonk	01-12-2015 13:16	0	1	Going to travel in #OMR . Wish me luck ppl !! #chennairains #ChennaiFloods #Chennai			#OMR #chennairains #ChennaiFloods #Chennai	671596227947991040	https://twitter.com/clearmonk/status/671596227947991040
AbiVarmaAR	01-12-2015 13:16	0	0	#ChennaiDrowning #ChennaiFloods #Corruption #FakePoliticians pic.twitter.com/R25JfKJQG0			#ChennaiDrowning #ChennaiFloods #Corruption #FakePoliticians	671596163036921856	https://twitter.com/AbiVarmaAR/status/671596163036921856
Azhakarasi	01-12-2015 13:16	14	4	Tambaram. Velachery. Most affected areas in chennai due to rain . #ChennaiRains #Chennai #ChennaiFloods			#ChennaiRains #Chennai #ChennaiFloods	671596147803295745	https://twitter.com/Azhakarasi/status/671596147803295745
iSinghRohit	01-12-2015 13:15	3	0	. @SkymetWeather #chennairains #ChennaiFloods https:// twitter.com/halovivek/stat us/671595475611455488 		@SkymetWeather	#chennairains #ChennaiFloods	671596002441170944	https://twitter.com/iSinghRohit/status/671596002441170944
ArunPrat	01-12-2015 13:15	3	3	Train service is stopped temporarily! #chennairains #ChennaiFloods pic.twitter.com/n3aJZMCdei			#chennairains #ChennaiFloods	671595952382210048	https://twitter.com/ArunPrat/status/671595952382210048
azhagi_	01-12-2015 13:14	4	2	 #ChennaiFloods ?			#ChennaiFloods	671595700942147584	https://twitter.com/azhagi_/status/671595700942147584
vyishnu	01-12-2015 13:13	1	0	Rain rules chennai @ChennaiRains @Chennaiaweather #Pray_for_Chennai #Chennaifloods pic.twitter.com/mpHJVkAkxW		@ChennaiRains @Chennaiaweather	#Pray_for_Chennai #Chennaifloods	671595483064766465	https://twitter.com/vyishnu/status/671595483064766465
halovivek	01-12-2015 13:13	6	3	Ford company area #chennairains #ChennaiFloods pic.twitter.com/Lu5bQTR4S2			#chennairains #ChennaiFloods	671595475611455488	https://twitter.com/halovivek/status/671595475611455488
SkymetWeather	01-12-2015 13:12	2	0	#ChennaiRains #chennaiweather #ChennaiFloods https:// twitter.com/NDTVRetweets/s tatus/671594913105055748 			#ChennaiRains #chennaiweather #ChennaiFloods	671595329691619328	https://twitter.com/SkymetWeather/status/671595329691619328
lauvanya	01-12-2015 13:12	3	0	#ChennaiRains #ChennaiFloods https:// twitter.com/naveenarendran /status/671593242270404608 			#ChennaiRains #ChennaiFloods	671595194333040640	https://twitter.com/lauvanya/status/671595194333040640
maheshkumarse	01-12-2015 13:11	0	4	#ChennaiRains #ChennaiFloods @maheshkumarse pic.twitter.com/DQt6cHXBqG		@maheshkumarse	#ChennaiRains #ChennaiFloods	671594961977012224	https://twitter.com/maheshkumarse/status/671594961977012224
halovivek	01-12-2015 13:11	3	0	Chitlapakkam #chennairains #ChennaiFloods pic.twitter.com/kWYoa2TG2S			#chennairains #ChennaiFloods	671594957308751872	https://twitter.com/halovivek/status/671594957308751872
SuseelMenon	01-12-2015 13:11	0	0	Heavy rain brings flooding to Chennai once again. #ChennaiFloods #ParisClimateConference #VITChennai pic.twitter.com/U5TDdxSVaV			#ChennaiFloods #ParisClimateConference #VITChennai	671594841910829056	https://twitter.com/SuseelMenon/status/671594841910829056
sudharsankandan	01-12-2015 13:10	66	27	Veerapuram lake breached! Heavy traffic congestion from Chengalpattu to Tambaram Road @ChennaiRains #ChennaiFloods pic.twitter.com/LRNfFeGIU5		@ChennaiRains	#ChennaiFloods	671594709857337344	https://twitter.com/sudharsankandan/status/671594709857337344
c_chithra	01-12-2015 13:10	0	0	@auldtimer Arnab @TimesNow tried to have have @VasundharaBJP replaced. Dare to Q Hon.Amma & #ChennaiFloods ? More people died than in Paris	Egmore Nungambakkam				
theiakr	01-12-2015 13:10	6	7	#Water Spraying frm t Rd @#Taramani @TidelPark_Signl #ChennaiFloods #chennairains #chennaiweather @Ahmedshabbir20 https://www. youtube.com/watch?v=XsyGZP d-Fmg 		@ @TidelPark_Signl @Ahmedshabbir20	#Water #Taramani #ChennaiFloods #chennairains #chennaiweather	671594597512962048	https://twitter.com/theiakr/status/671594597512962048
Navitecho	01-12-2015 13:09	1	2	Really sad!! #chennairains #ChennaiFloods https:// twitter.com/ndtv/status/67 1594068825128962 			#chennairains #ChennaiFloods	671594495058677760	https://twitter.com/Navitecho/status/671594495058677760
Anirudh_Madhav	01-12-2015 13:09	0	3	#ChennaiRains #chennaifloods pic.twitter.com/dobnCFLXhK			#ChennaiRains #chennaifloods	671594327978590208	https://twitter.com/Anirudh_Madhav/status/671594327978590208
ndtv	01-12-2015 13:07	54	73	Chennai industrial community suffers huge loss due to #ChennaiFloods #ChennaiRains http://www. ndtv.com/chennai-news/c hennai-industrial-community-suffers-huge-loss-due-to-floods-1249594 pic.twitter.com/bu4Cjl2aMW			#ChennaiFloods #ChennaiRains	671594068825128962	https://twitter.com/ndtv/status/671594068825128962
BalaguruSivam	01-12-2015 13:07	1	2	Exactly most chennai people reaction now @ChennaiRains #chennairains #ChennaiFloods pic.twitter.com/AWxKCf4EYN		@ChennaiRains	#chennairains #ChennaiFloods	671594049648873472	https://twitter.com/BalaguruSivam/status/671594049648873472
halovivek	01-12-2015 13:06	1	1	Anyone helping to Orphan ages and child center? #chennairains #ChennaiFloods			#chennairains #ChennaiFloods	671593767732809728	https://twitter.com/halovivek/status/671593767732809728
iSinghRohit	01-12-2015 13:06	0	1	@SkymetWeather #chennairains #ChennaiFloods https:// twitter.com/naveenarendran /status/671593242270404608 		@SkymetWeather	#chennairains #ChennaiFloods	671593717392797696	https://twitter.com/iSinghRohit/status/671593717392797696
hashini1005	01-12-2015 13:06	33	31	#ChennaiRains Be Safe #chennaiweather #ChennaiFloods pic.twitter.com/4xug9IWPQ8			#ChennaiRains #chennaiweather #ChennaiFloods	671593706571481088	https://twitter.com/hashini1005/status/671593706571481088
halovivek	01-12-2015 13:06	0	0	 ? #chennairains #ChennaiFloods			#chennairains #ChennaiFloods	671593604863811584	https://twitter.com/halovivek/status/671593604863811584
IAmNGP	01-12-2015 13:06	0	0	#ChennaiFloods #NarendraModi pic.twitter.com/EfB3oyrfou			#ChennaiFloods #NarendraModi	671593594751324160	https://twitter.com/IAmNGP/status/671593594751324160
politicalbaaba	01-12-2015 13:05	1	0	100 Smart Cities concept good But should we not take steps first to make our metros smart? They are reeling under pressure. #ChennaiFloods			#ChennaiFloods	671593464392368129	https://twitter.com/politicalbaaba/status/671593464392368129
IAmNGP	01-12-2015 13:03	0	0	#ChennaiFloods #NarendraModi pic.twitter.com/p5EyME5ZaW			#ChennaiFloods #NarendraModi	671592972727672832	https://twitter.com/IAmNGP/status/671592972727672832
RealManithan	01-12-2015 13:03	2	0	#chennairains #chennaiweather #ChennaiFloods @ChennaiRains @chennaiweather @ChennaiConnect pic.twitter.com/p7qFZatinG		@ChennaiRains @chennaiweather @ChennaiConnect	#chennairains #chennaiweather #ChennaiFloods	671592890028527616	https://twitter.com/RealManithan/status/671592890028527616
